Rank,City,Population
1,Los Angeles,"3,979,576"
2,San Diego,"1,423,851"
3,San Jose,"1,021,795"
4,San Francisco,"881,549"
5,Fresno,"531,576"
6,Sacramento,"513,624"
7,Long Beach,"462,628"
8,Oakland,"433,031"
9,Bakersfield,"384,145"
10,Anaheim,"350,365"
11,Santa Ana,"332,318"
12,Riverside,"331,360"
13,Stockton,"312,697"
14,Irvine,"287,401"
15,Chula Vista,"274,492"
16,Fremont,"241,110"
17,San Bernardino,"215,784"
18,Modesto,"215,196"
19,Fontana,"214,547"
20,Moreno Valley,"213,055"
21,Santa Clarita,"212,979"
22,Oxnard,"208,881"
23,Glendale,"199,303"
24,Huntington Beach,"199,223"
25,Ontario,"185,010"
26,Rancho Cucamonga,"177,603"
27,Santa Rosa,"176,753"
28,Oceanside,"175,742"
29,Elk Grove,"174,775"
30,Garden Grove,"171,644"
31,Corona,"169,868"
32,Hayward,"159,203"
33,Lancaster,"157,601"
34,Salinas,"155,465"
35,Palmdale,"155,079"
36,Sunnyvale,"152,703"
37,Pomona,"151,691"
38,Escondido,"151,625"
39,Torrance,"143,592"
40,Roseville,"141,500"
41,Pasadena,"141,029"
42,Orange,"138,669"
43,Fullerton,"138,632"
44,Visalia,"134,605"
45,Santa Clara,"130,365"
46,Concord,"129,295"
47,Thousand Oaks,"126,813"
48,Simi Valley,"125,613"
49,Victorville,"122,385"
50,Vallejo,"121,692"
51,Berkeley,"121,363"
52,East Los Angeles,"119,827"
53,Fairfield,"117,133"
54,Murrieta,"116,223"
55,El Monte,"115,487"
56,Carlsbad,"115,382"
57,Temecula,"114,761"
58,Clovis,"114,584"
59,Costa Mesa,"113,003"
60,Antioch,"111,502"
61,Downey,"111,126"
62,Richmond,"110,567"
63,Jurupa Valley,"109,527"
64,San Buenaventura (Ventura),"109,106"
65,Inglewood,"108,151"
66,Santa Maria,"107,263"
67,Daly City,"106,280"
68,West Covina,"105,101"
69,San Mateo,"104,430"
70,Norwalk,"103,949"
71,Rialto,"103,526"
72,Chico,"103,301"
73,El Cajon,"102,708"
74,Burbank city,"102,511"
75,Vista,"101,638"
76,Vacaville,"100,670"
77,Arden-Arcade,"100,548"
78,San Marcos,"96,664"
79,Hesperia,"95,750"
80,Compton,"95,605"
81,Menifee,"94,756"
82,Tracy,"94,740"
83,Mission Viejo,"94,381"
84,Chino,"94,371"
85,South Gate,"93,444"
86,Redding,"92,590"
87,Indio,"91,765"
88,Carson,"91,394"
89,Santa Barbara,"91,364"
90,Westminster,"90,643"
91,Santa Monica,"90,401"
92,Livermore,"90,189"
93,San Leandro,"88,815"
94,Citrus Heights,"87,796"
95,Hawthorne,"86,068"
96,Redwood City,"85,925"
97,Lake Forest,"85,531"
98,Hemet,"85,334"
99,Whittier,"85,098"
100,Newport Beach,"84,534"
101,Milpitas,"84,196"
102,Chino Hills,"83,853"
103,Alhambra,"83,750"
104,Merced,"83,676"
105,Manteca,"83,028"
106,Mountain View city,"82,739"
107,Buena Park,"81,788"
108,Pleasanton,"81,777"
109,Folsom,"81,328"
110,Tustin,"79,348"
111,Lakewood,"79,307"
112,Perris,"79,291"
113,Napa,"78,130"
114,Alameda,"77,624"
115,Upland,"77,140"
116,Bellflower,"76,435"
117,San Ramon,"75,995"
118,Baldwin Park,"75,251"
119,Rancho Cordova,"75,087"
120,Union City,"74,107"
121,Turlock,"73,631"
122,Apple Valley,"73,453"
123,Pittsburg,"72,588"
124,Redlands,"71,513"
125,Walnut Creek,"70,166"
126,Camarillo,"69,888"
127,Lynwood,"69,887"
128,Davis,"69,413"
129,Lake Elsinore,"69,283"
130,Rocklin,"68,823"
131,South San Francisco,"67,789"
132,Yorba Linda,"67,644"
133,Lodi,"67,586"
134,Yuba City,"67,010"
135,Redondo Beach,"66,749"
136,Laguna Niguel,"66,385"
137,Madera,"65,860"
138,Tulare,"65,496"
139,Palo Alto,"65,364"
140,Dublin,"64,826"
141,Carmichael,"64,785"
142,Santa Cruz,"64,608"
143,San Clemente,"64,558"
144,Brentwood,"64,474"
145,Florence-Graham,"64,162"
146,Eastvale,"64,157"
147,Castro Valley,"63,288"
148,Encinitas,"62,709"
149,Pico Rivera,"62,027"
150,Montebello,"61,954"
151,National City,"61,394"
152,Woodland,"60,548"
153,Petaluma,"60,520"
154,La Habra,"60,513"
155,South Whittier,"60,096"
156,Monterey Park,"59,669"
157,Porterville,"59,599"
158,Gardena,"59,329"
159,Cupertino,"59,276"
160,La Mesa,"59,249"
161,Gilroy,"59,032"
162,San Rafael,"58,440"
163,Santee,"58,081"
164,Arcadia,"57,939"
165,Hanford,"57,703"
166,Huntington Park,"57,509"
167,Diamond Bar,"55,720"
168,Novato,"55,516"
169,Highland,"55,417"
170,Fountain Valley,"55,357"
171,Cathedral City,"55,007"
172,Hacienda Heights,"54,970"
173,Colton,"54,824"
174,Rosemead,"54,058"
175,Paramount,"53,955"
176,Yucaipa,"53,921"
177,Watsonville,"53,856"
178,Delano,"53,573"
179,West Sacramento,"53,519"
180,Palm Desert,"53,275"
181,Glendora,"51,544"
182,Placentia,"51,233"
183,Beaumont,"51,063"
184,Aliso Viejo,"50,887"
185,Rowland Heights,"50,602"
186,Azusa,"49,974"
187,Cerritos,"49,859"
